Region Name,Window Size,Lambda,Limit,Amount,Percentage,Regulation Hours
TEN,quarter,10,0.08,240785.3698110133,0.0024430022935473,7637.0
NE,quarter,10,0.08,130621.90495520084,0.0023001203956552,4956.0
MIDW,quarter,10,0.02,1309271.1575814486,0.0017035947022456,8682.0
MIDW,quarter,10,0.29,2763432.317361951,0.0035957170740465,8760.0
TEN,quarter,10,0.29,312610.2142903507,0.0031717353554208,8293.0
CENT,quarter,10,0.01,625586.1064147949,0.0024157669493208,8136.0
CENT,quarter,10,0.16,5284564.09160018,0.0204069034512588,8760.0
CENT,quarter,10,0.25,5805940.89595446,0.0224202551532649,8760.0
NE,quarter,10,0.04,99447.86731677502,0.0017511769407909,4336.0
MIDW,quarter,10,0.12,2488098.574287057,0.0032374588909836,8760.0
TEN,quarter,10,0.03,168394.06029953065,0.0017085218917345,6020.0
TEN,quarter,10,0.05,204397.51947665212,0.0020738120811442,6455.0
MIDW,quarter,10,0.01,678714.647773385,0.0008831285036624,8312.0
MIDW,quarter,10,0.1,2410183.328291297,0.0031360772944106,8760.0
SW,quarter,10,0.01,54522.699285939336,0.0006583878012474,3245.0
TEN,quarter,10,0.06,219384.14011141655,0.0022258659563941,7010.0
CENT,quarter,10,0.12,4886859.183095813,0.0188711238620131,8760.0
SE,quarter,10,0.17,302231.5014460981,0.0015784511180644,6722.0
SW,quarter,10,0.19,353464.0399416238,0.0042682481814909,7783.0
SW,quarter,10,0.26,372120.2752973139,0.0044935311908843,7893.0
SW,quarter,10,0.27,374258.2093072832,0.0045193477716932,7908.0
MIDW,quarter,10,0.03,1741437.2386859655,0.0022659196583838,8760.0
SE,quarter,10,0.16,298709.555113256,0.0015600572044576,6720.0
MIDW,quarter,10,0.3,2771818.801134348,0.003606629381434,8760.0
MIDW,quarter,10,0.22,2691023.775652051,0.0035015006794211,8760.0
MIDW,quarter,10,0.14,2546559.040109515,0.0033135263574433,8760.0
NE,quarter,10,0.21,189567.4324922338,0.0033380918612153,5851.0
TEN,quarter,10,0.27,309672.8563210368,0.0031419329954949,8291.0
SE,quarter,10,0.22,316060.2758740783,0.0016506740476825,6750.0
NE,quarter,10,0.18,177792.9582233131,0.0031307552095001,5657.0
NE,quarter,10,0.16,169785.37430468202,0.0029897497089489,5551.0
CENT,quarter,10,0.09,4444519.210950196,0.0171629812512429,8760.0
SE,quarter,10,0.05,229657.33052155373,0.0011994211999707,6562.0
CENT,quarter,10,0.13,5003398.140292853,0.0193211513773592,8760.0
MIDW,quarter,10,0.24,2715047.37964344,0.0035327596621396,8760.0
NE,quarter,10,0.26,208445.0865074545,0.0036705083654564,6367.0
SE,quarter,10,0.15,294909.83231952786,0.0015402125599934,6720.0
NE,quarter,10,0.29,217113.18435353783,0.0038231448520714,6388.0
SW,quarter,10,0.29,378212.3208035976,0.0045670955686299,7936.0
CENT,quarter,10,0.24,5764228.125734538,0.0222591768770234,8760.0
NE,quarter,10,0.07,124178.07912819833,0.0021866511026157,4836.0
SW,quarter,10,0.1,308039.86509747803,0.0037197294362566,6978.0
MIDW,quarter,10,0.13,2518889.4782185555,0.0032775233348624,8760.0
MIDW,quarter,10,0.23,2703489.861435652,0.0035177212748079,8760.0
SE,quarter,10,0.09,264679.47010594606,0.0013823297820328,6648.0
SE,quarter,10,0.29,329181.7292023897,0.0017192028826239,6800.0
SW,quarter,10,0.12,319038.1394544691,0.0038525388856464,6717.0
CENT,quarter,10,0.08,4254300.832558602,0.016428432854212,8760.0
NE,quarter,10,0.17,173951.70248398185,0.0030631145586155,5615.0
SW,quarter,10,0.18,350186.5164503306,0.0042286705099297,7775.0
NE,quarter,10,0.13,156712.182160452,0.0027595439414126,5365.0
CENT,quarter,10,0.11,4755318.428658068,0.0183631653191347,8760.0
SW,quarter,10,0.13,327265.1814483702,0.0039518843722066,7316.0
